Varia por patamar?      ,    0,Unidade ,     MW,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,    7
Estg,Ser.,Pat.,Sydney      ,New York    ,DorrieR1    ,DorrieR2    ,Solar       ,Wind_2024   ,DSM and DR  
 159,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  472.87    
 160,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  472.87    
 161,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  472.87    
 162,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  472.87    
 163,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.81    ,  578.77    
 164,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.81    ,  578.77    
 165,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.81    ,  578.77    
 166,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.81    ,  578.77    
 167,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  374.28    
 168,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  374.28    
 169,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  374.28    
 170,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  285.27    
 171,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  285.27    
 172,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  215.04    
 173,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  215.04    
 174,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  217.65    
 175,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  411.98    
 176,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  446.42    
 177,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  446.42    
 178,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  446.42    
 179,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  446.42    
 180,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  411.98    
 181,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  411.98    
 182,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  411.98    
 183,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  411.98    
 184,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  411.98    
 185,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  411.98    
 186,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  446.42    
 187,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.81    ,  539.82    
 188,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.81    ,  539.82    
 189,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.81    ,  539.38    
 190,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.81    ,  539.38    
 191,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  217.65    
 192,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  217.65    
 193,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  217.65    
 194,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  217.65    
 195,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  202.71    
 196,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  202.71    
 197,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  202.71    
 198,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  202.71    
 199,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  377.50    
 200,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  377.50    
 201,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  411.98    
 202,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  411.98    
 203,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  411.98    
 204,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  377.50    
 205,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  377.50    
 206,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  377.50    
 207,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  377.50    
 208,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  377.50    
 209,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  411.98    
 210,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  446.42    
 211,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.81    ,  539.82    
 212,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.81    ,  539.82    
 213,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.81    ,  539.82    
 214,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.81    ,  549.79    
 215,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  285.27    
