Varia por patamar?      ,    0,Unidade ,     MW,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,   16
Estg,Ser.,Pat.,PoR U1      ,Elf RapidsU1,GR U1       ,McA U1      ,DR U1       ,CF U1       ,TalR U1     ,MadridU1    ,TF U1       ,Tor U1      ,Ath U1 E    ,Ath U2 R    ,ES U1 E     ,ES U2 R     ,NeF U1 E    ,NeF U2 R    
  95,   1,   1,    65.76072,    53.66645,    92.83986,    39.55621,    92.89729,    65.51711,     0.00000,   210.67767,   208.00000,   643.97388,   271.16614,     0.00000,   710.94611,     0.00000,   493.87354,     0.00000
  96,   1,   1,    65.56554,    53.59488,    92.22643,    39.25066,    92.63201,    65.18102,   247.34770,   210.57214,   208.00000,   610.95349,    94.85384,     0.00000,   658.69543,     0.00000,   494.64447,     0.00000
  97,   1,   1,    65.67662,    53.48032,    92.53894,    39.22367,    92.20729,    65.35190,   247.33081,   169.94496,   208.00000,   241.64583,    94.95747,     0.00000,   548.13318,     0.00000,  1033.50916,     0.00000
  98,   1,   1,    65.64944,    53.47458,    92.45081,    39.29929,    92.10335,    65.42303,   247.31393,    69.60831,   114.51675,   274.94388,  1061.06091,     0.00000,    94.00000,     0.00000,   230.00000,     0.00000
  99,   1,   1,    65.64944,    53.56807,    92.07526,    39.25759,    92.30382,    65.40586,   247.29704,    69.60831,   117.43604,   292.11761,  1040.96497,     0.00000,    94.00000,     0.00000,   230.00000,     0.00000
 100,   1,   1,    65.64944,    53.56799,    92.44015,    39.42681,    92.45293,    64.99046,     0.00000,    69.60831,    70.66260,   248.94182,   950.46729,     0.00000,    94.00000,     0.00000,   230.00000,     0.00000
 101,   1,   1,    65.64944,    53.56799,    92.44015,    39.22588,    92.57667,    65.13860,     0.00000,    69.60831,   112.17749,   269.82111,   885.81378,     0.00000,    94.00000,     0.00000,   230.00000,     0.00000
 102,   1,   1,    65.64944,    53.56799,    92.44015,    39.32635,    92.13758,    65.26268,     0.00000,    69.60831,   196.43736,   303.39890,   763.76801,     0.00000,    94.00000,     0.00000,   230.00000,     0.00000
 103,   1,   1,    65.67662,    53.63255,    92.67637,    39.46336,    92.73688,    65.47340,   247.34239,    69.60831,   196.42891,   416.13123,   694.98297,     0.00000,    94.00000,     0.00000,   230.00000,     0.00000
 104,   1,   1,    65.64944,    53.47459,    92.36561,    39.22131,    92.45325,    65.24760,     0.00000,    69.60831,   196.42044,   252.03542,   271.04315,     0.00000,   700.20917,     0.00000,   474.29132,     0.00000
