Varia por patamar?      ,    0,Unidade ,   m3/s,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,   16
Estg,Ser.,Pat.,PoR U1      ,Elf RapidsU1,GR U1       ,McA U1      ,DR U1       ,CF U1       ,TalR U1     ,MadridU1    ,TF U1       ,Tor U1      ,Ath U1 E    ,Ath U2 R    ,ES U1 E     ,ES U2 R     ,NeF U1 E    ,NeF U2 R    
  87,   1,   1,   632.29999,   632.29999,   630.09155,   633.40833,   630.64160,   631.80621,     0.00000,  1131.77197,  1106.11377,  1687.09998,  1107.76941,     0.00000,   414.07956,     0.00000,  1750.00000,     0.00000
  88,   1,   1,   632.29999,   632.64557,   634.50842,   631.19165,   632.29999,   632.78113,     0.00000,  1031.63403,  1106.62671,  2437.01367,  2169.33789,     0.00000,  2500.00000,     0.00000,  1000.00000,     0.00000
  89,   1,   1,   632.29999,   631.95447,   632.29999,   633.40833,   632.29999,   631.06567,     0.00000,  1161.56665,  1112.29944,  1667.92224,  1000.00000,     0.00000,  2500.00000,     0.00000,  2500.00000,     0.00000
  90,   1,   1,   632.29999,   632.29999,   630.09155,   631.19165,   632.29999,   631.47083,     0.00000,  1997.33057,  1112.29944,  1467.62354,  1000.00000,     0.00000,  2500.00000,     0.00000,  2333.06372,     0.00000
  91,   1,   1,   632.29999,   633.40833,   634.50842,   633.91937,   633.66382,   633.40564,  1051.37476,  2250.12085,  1112.29944,  3302.55518,  3977.18677,     0.00000,  3689.67407,     0.00000,  3448.09863,     0.00000
  92,   1,   1,   632.29999,   632.29999,   632.29999,   630.68066,   632.29999,   631.19440,   958.04822,  2249.01978,  1112.29944,  3301.45288,  3972.07520,     0.00000,  3406.55762,     0.00000,  3787.04639,     0.00000
  93,   1,   1,   632.29999,   631.19165,   632.29999,   634.13910,   632.40985,   632.98193,  1051.08691,  2247.91968,  1112.29944,  3300.35156,  2877.10400,     0.00000,  3738.99609,     0.00000,  4473.23193,     0.00000
  94,   1,   1,   632.29999,   633.40833,   632.41113,   633.76947,   633.95428,   634.08752,  1092.75342,  2246.82031,  1112.29944,  3299.25122,  2941.72485,     0.00000,  3673.30469,     0.00000,  4418.79297,     0.00000
  95,   1,   1,   632.29999,   631.19165,   632.63336,   632.29999,   633.03473,   632.35492,     0.00000,  2245.72217,   996.00000,  3741.94043,  1000.00000,     0.00000,  2500.00000,     0.00000,  1750.00000,     0.00000
  96,   1,   1,   632.29999,   632.29999,   632.07556,   633.41113,   632.85553,   633.18207,   709.71216,   885.88031,   989.13751,  1587.65845,   494.50751,     0.00000,  2500.00000,     0.00000,  1750.00000,     0.00000
  97,   1,   1,   632.29999,   633.40833,   632.96008,   632.29999,   632.85553,   633.49451,   709.66803,   636.00000,   973.90002,  1256.99219,   342.00000,     0.00000,  1000.00000,     0.00000,  3365.63477,     0.00000
  98,   1,   1,   632.29999,   631.19165,   629.42487,   630.96887,   630.52612,   631.83954,     0.00000,   636.00000,   973.90002,  1687.09998,  2500.00000,     0.00000,   429.70673,     0.00000,   791.27161,     0.00000
  99,   1,   1,   632.29999,   632.29999,   632.08661,   629.21149,   630.09015,   632.85553,     0.00000,   636.00000,   973.90002,  1670.77002,  2500.00000,     0.00000,   425.23767,     0.00000,   791.97656,     0.00000
 100,   1,   1,   632.29999,   632.29999,   633.15759,   632.81250,   632.12030,   632.79645,     0.00000,   636.00000,   332.06912,  2293.17163,  1000.00000,     0.00000,   421.40604,     0.00000,   792.69135,     0.00000
 101,   1,   1,   632.29999,   632.29999,   631.44238,   631.78754,   632.29999,   629.20251,     0.00000,   636.00000,   332.00000,  1257.40637,  1750.00000,     0.00000,   419.83102,     0.00000,   793.41412,     0.00000
 102,   1,   1,   632.29999,   632.29999,   632.29999,   632.29999,   630.93542,   631.10522,     0.00000,   636.00000,   656.90094,  1336.09656,  1750.00000,     0.00000,   416.95840,     0.00000,   794.14185,     0.00000
 103,   1,   1,   632.29999,   632.29999,   633.91937,   632.29999,   632.29999,   633.31573,     0.00000,   636.00000,   670.19843,  2523.95630,  1750.00000,     0.00000,   414.07956,     0.00000,   794.87665,     0.00000
 104,   1,   1,   633.40009,   632.52002,   632.30212,   632.29999,   632.29999,   630.51208,     0.00000,   636.00000,   672.25372,  1249.56958,  1000.00000,     0.00000,  2500.00000,     0.00000,   794.80457,     0.00000
 105,   1,   1,   632.29999,   634.28839,   630.67853,   632.29999,   632.29999,   631.61774,   253.00000,   636.00000,   332.00000,  1274.12683,  1000.00000,     0.00000,  2500.00000,     0.00000,   791.48145,     0.00000
 106,   1,   1,   632.29999,   632.29999,   633.91937,   633.62836,   632.96417,   633.40564,   700.19666,   636.00000,   996.00000,  1687.09998,  1000.00000,     0.00000,   417.98218,     0.00000,   791.48523,     0.00000
 107,   1,   1,   631.19989,   632.07996,   630.68066,   631.85175,   632.74005,   631.19440,   619.09192,   636.00000,   381.40649,  1687.09998,  1759.54614,     0.00000,  1750.00000,     0.00000,   789.17047,     0.00000
 108,   1,   1,   632.29999,   631.41992,   632.29999,   631.41992,   631.63580,   632.63208,   709.94922,   636.00000,   861.83917,  1687.09998,  1750.00000,     0.00000,   416.37573,     0.00000,  1379.69043,     0.00000
 109,   1,   1,   632.29999,   632.29999,   633.40833,   634.50842,   634.07251,   633.95770,   709.90503,   636.00000,   836.56274,  2085.00269,  1457.92114,     0.00000,  1000.00000,     0.00000,  1000.00000,     0.00000
 110,   1,   1,   632.29999,   632.29999,   631.19165,   632.29999,   633.40424,   632.18793,     0.00000,   636.00000,   690.73267,  2083.71069,  1000.00000,     0.00000,  1000.00000,     0.00000,  2500.00000,     0.00000
 111,   1,   1,   632.29999,   632.29999,   632.29999,   630.09155,   630.08746,   632.85419,     0.00000,   636.00000,   691.99121,  1236.05688,  1000.00000,     0.00000,  1750.00000,     0.00000,  2358.05273,     0.00000
